title,company,location,date,url,department,workplace_type,description,requirements
Data Science Team Lead NLP,GotFriends,Israel,2026-05-17,https://www.gotfriends.co.il/jobslobby/ai/llm-engineer/data-science-team-lead-nlp/,AI & ML,onsite,"נשמח לצרף לעשייה שלנו ראש/ת צוות ומומחה/ית NLP. אנחנו סטארט-אפ העוסק בניבוי אירועים גלובליים ברחבי העולם לפני התרחשותם באמצעות טכנולוגיית בינה מלאכותית, מודלים של Data Science וסטטיסטיקות. מתמחים בתחזיות מאקרוכלכליות לגופים פיננסים גדולים בעולם. התפקיד כולל ניהול 2 עובדים, המחלקה הינה בהקמה ועל כן בתחילת הדרך התפקיד יכלול 100% Hands On אשר יפחתו בהדרגה. עיסוק במחקר, פיתוח ומימוש. כתיבת קוד בPython. תנאים מעולים, ממוקמים בהוד השרון. שלחו קורות חיים.",- PHD - 4 שנות נסיון בData Science - נסיון של שנתיים בNLP - נסיון ניהולי של שנתיים - Python
Data Scientist לחברת סטארטאפ העוסקת בתחזיות מאקרוכלכליות,GotFriends,Israel,2026-05-17,https://www.gotfriends.co.il/jobslobby/ai/llm-engineer/data-scientist-לחברת-סטארטאפ-העוסקת-בתחזיות-מאקרוכלכליות/,AI & ML,onsite,"היי Data Scientist, מזמינים אותך להשתלב בחברת סטארט-אפ העוסקת בניבוי אירועים גלובליים ברחבי העולם לפני התרחשותם באמצעות טכנולוגיית בינה מלאכותית, מודלים של Data Science וסטטיסטיקות. מתמחים בתחזיות מאקרוכלכליות לגופים פיננסים גדולים בעולם. התפקיד כולל עבודת מחקר, פיתוח ומימוש, כתיבת קוד בPython. החברה קיימת מזה 5 שנים, ממוקמת בהוד השרון.",- תואר שני רלוונטי - 4 שנות נסיון בData Science - נסיון עם Time Series - כתיבת קוד בPython או R
Senior Data Scientist,GotFriends,Israel,2026-05-17,https://www.gotfriends.co.il/jobslobby/ai/llm-engineer/senior-data-scientist-1/,AI & ML,onsite,"היי כולן וכולם, הזדמנות מעולה להשתלב בתפקיד מעניין בחברה בת""א אשר מפתחת פלטפורמה מבוססת בינה מלאכותית המסייעת לעסקים לנתח ולאשר חוזים משפטיים. המוצר הינו מוצר SaaS בתחום של Machine Learning שיודע לבצע ניתוח מסמכים באופן אוטומטי. התפקיד כולל עבודה בצוות קטן אשר נמצא בתוך הProduction, שילוב של NLP וDeep Learning. כ80% מהזמן עבודת מחקר וביתר פיתוח בPython. שומרים על איזון בית ועבודה, מאפשרים שעות עבודה גמישות, מוזמנים להצטרף.",- נסיון של 5 שנים בתפקידי DS - נסיון בPython - היכרות עם Deep Learning
Algorithm Developer לחברת סטארט-אפ קטנה בתחום הרובוטיקה,GotFriends,Israel,2026-05-17,https://www.gotfriends.co.il/jobslobby/ai/ai-engineer/120654/,AI & ML,onsite,"חברת סטארט-אפ קטנה בתחום הרובוטיקה מגייסת מהנדס/ת אלגוריתמים. צוות של 3 עובדים, מפתחים מערכת מולטידיסיפלינטרית בתחום האופטיקה, עיבוד תמונה ו-Machine Learning. התפקיד כולל הקמה של המערכת. עבודת מימוש ומחקר. עובדים עם DL וSP. יושבים ברמת גן (קו רכבת), מוזמנים לשלוח קורות חיים.",- נסיון עם ML/DL - Image processing או signal processing
Senior Machine Learning / NLP Engineer,GotFriends,Israel,2026-05-17,https://www.gotfriends.co.il/jobslobby/ai/llm-engineer/senior-machine-learning-nlp-engineer/,AI & ML,onsite,"אנו מגייסים מהנדס/ת NLP אלינו, לחברה ענקית פיננסית ומסחר. יש לנו 4 מעבדות מחקר בעולם. החדשה מבינהם נמצאת בישראל ושמה לה למטרה לחקור ולפתח מוצרים חדשים מאפס. התפקיד כולל פיתוח ב-Python כחלק מצוות האלגוריתמים. 200 עובדים, יושבים בתל אביב. נשמח להכיר אותך!",- 7 שנות נסיון בפיתוח ב-Python - 3 שנות נסיון בתפקיד עם רקע בMachine Learning או NLP - תואר רלוונטי
Algorithm Researcher לחברת סטארט אפ רפואית,GotFriends,Israel,2026-05-17,https://www.gotfriends.co.il/jobslobby/ai/ai-engineer/119480/,AI & ML,onsite,"רוצה להשיב מלחמה, להשאיר חותם ולפעול למען קידום הבריאות? בימים אלו, אנחנו מגייסים חוקר/ת אלגוריתמים מבריק/ה לעשייה שלנו. אנחנו חברת סטארטאפ שפועלת בעולם הרפואה. מפתחים מערכת לניתוח הדמיות אולטרסאונד באופן מיידי ובכל סביבה! אנחנו נעזרים באלגוריתמים מתקדמים בתחום של עיבוד תמונה ו-Deep Learning. מטרת העל שלנו היא לשפר באופן משמעותי את ניטור מצב החולים ולספק לרופאים כלים שיתמכו בתהליך קבלת ההחלטות שלהם. אם את/ה חולקת אידאל דומה ורוצה לתרום את שלך, כמו גם לקבל ידע רב, התפתחות מקצועית ועבודה בחברה מבוססת - נשמח להכיר אותך.",- נסיון של שנתיים ב-Computer Vision ו-Deep Learning - נסיון ב-Python - תואר שני
Algorithm Team leader לחברה מובילה בעולם הרכבים האוטונומיים,GotFriends,Israel,2026-05-17,https://www.gotfriends.co.il/jobslobby/ai/ai-engineer/119991/,AI & ML,Remote,"ישנם יתרונות רבים לעבודה מהבית שייתכן ואת/ה מגלה רק בימים אלו. על כן, חשוב לנו לציין כי גם לפני וגם אחרי תקופת הקורונה, אנחנו באים לקראת העובדים שלנו ומאפשרים לעבוד מהבית במשך יומיים בשבוע, באופן קבוע! אז מי אנחנו ואיזו משרה פתוחה אצלנו כיום? אנחנו סטארטאפ שמפתח פלטפורמת למידה עמוקה עבור מערכות רכב אוטונומי. אנחנו אחרי רכישה ונהנים מגב כלכלי איתן של אחת מיצרניות הרכב הבולטות כיום בתעשיה. התפקיד כולל ניהול צוות אלגוריתמאים חדש שיעסוק בפיתוח עיר חכמה עם Deep Learning  ו-Computer Vision. זוהי באמת הזדמנות מעולה להיות חלק מחברה סופר טכנולוגית ומובילת חדשנות בעולם הבינה המלאכותית. נשמח לשמוע ממך!",- 5 שנות נסיון כאלגוריתמאי/ת - Deep Learning - Computer Vision - תואר אקדמי בתחום טכנולוגי
Senior Algorithm Engineer לסטארטאפ בעולם ה-Gaming,GotFriends,Israel,2026-05-17,https://www.gotfriends.co.il/jobslobby/ai/llm-engineer/senior-algorithm-engineer-לסטארטאפ-בעולם-ה-gaming/,AI & ML,onsite,"דרוש/ה Senior Algorithm Engineer לחברה אשר עוסקת בתחום לכידת וידאו באיכות גבוהה. מפתחים מצלמות תלת מימד בעלות עומק במטרה לייצר וידאו ברמה גבוהה עבור עולם שידורים ויישומים של מציאות וירטואלית. עוסקים ב-AI Sports Analytics ו Performance Analysis ע""י Deep Learning. 25 עובדים, יושבים בתל אביב. קיימים משקיעים לחברה. בוא/י לגדול","- 5 שנות נסיון כמהנדס/ת אלגוריתמים - נסיון ב-Computer Vision, Deep Learning, 3D - תואר אקדמי"
NLP Team Leader לחברת SU בעולם הבינה המלאכותית,GotFriends,Israel,2026-05-17,https://www.gotfriends.co.il/jobslobby/ai/llm-engineer/nlp-team-leader-לחברת-su-בעולם-הבינה-המלאכותית/,AI & ML,onsite,"לחברת סטארטאפ חלוצה בעולם הבינה המלאכותית דרוש/ה NLP Team Leader. נחשבים לאחת מהחברות פורצות הדרך ב-Ecosytem בכל מה שקשור באלגוריתמים. מפתחים מנוע המציע רעיונות יצירתיים לפתרון בעיות וחיזוי תהליכים. במסגרת התפקיד 50% HO, ניהול 2 אלגוריתמאי NLP. לחברה לקוחות קיימים. עובדים עם חברות מובילות! יושבים באזור השרון, קיימים מערכי הסעות מתל אביב. מחפש/ת את האתגר הבא שלך? המשרה הזו עבורך!",- 4 שנות נסיון ב-NLP - נסיון ניהולי - תואר שני
ML / NLP Engineer לחברת סטארטאפ!,GotFriends,Israel,2026-05-17,https://www.gotfriends.co.il/jobslobby/ai/llm-engineer/ml-nlp-engineer-לחברת-סטארטאפ/,AI & ML,onsite,"סטארט אפ קטן שקיים שנתיים וחצי מגייס ML / NLP Engineer . עוסקים באוטומיזציה של עיצוב לקוד. מונה כיום 4 עובדים ונמצאים בגדילה ל-10 עובדים. חברה רווחית עם לקוחות גדולים כמו IBM. סיימו סבב גיוס של 2.5 מיליון דולר. מגייסים מהנדס/ת ML / NLP שיעסוק/ תעסוק בפיתוח, מחקר ומימוש באופן שווה, כתיבת קוד ב Python, יכתוב/ תכתוב לספריות קיימות וגם למודולים מסקרץ'.",-תואר שני ומעלה -3+ שנות נסיון ב ML -ניסיון בכתיבת קוד ב Python
