title,company,location,date,url,source,job_id,description,requirements
C++ Engineer לחברת סקיוריטי,אנונימי / סודי,Israel,2026-05-06,https://www.gotfriends.co.il/jobslobby/software/cplusplus-programmer/cplusplus-engineer-לחברת-סקיוריטי/,gotfriends,109622,++C יש לנו הזדמנות מעניינת עבורך אנחנו סטארטאפ בשל ויציב בעולם הסקיוריטי. יש לנו אווירה מעולה בצוות. טכנולוגים שמובילים את החברה מבחינה מקצועית. אנחנו ארגון שטוח. חשוב לנו לעבוד עם הטכנולוגיות המתקדמות ביותר אבל גם שיהיה לנו כיף לפתח יחד. אנחנו מגייסים ++C מנוסה עבור הצוות שלנו יש לנו תנאים מעולים work life balance ועניין רב,-3 שנות ניסיון בפיתוח ++C -Linux או לחלופין Windows Internals
מפתח/ת ++C אם היו מציעים לך לעבוד יומיים בשבוע מהבית?,אנונימי / סודי,Israel,2026-05-06,https://www.gotfriends.co.il/jobslobby/software/cplusplus-programmer/מפתחת-plusplusc-אם-היו-מציעים-לך-לעבוד-יומיים-בשבוע-מהבית/,gotfriends,111084,"חברה מדהימה שפועלת בעולם הרכב האוטונומי מגייסת מפתח/ת ++C. הזדמנות מעולה להיות חלק ממעבדת innovation שמפתחת בשכבת ה- core עבור חברות הרכב המובילות בעולם. הזדמנות מעולה להיות חלק מאווירה סטארטאפיסטית, פיתוחים מורכבים. עם תרבות ארגונים של work life balance ויומיים עבודה מהבית!",-5 שנות ניסיון בפיתוח ב ++C -הכרות עם Python -ניסיון בעבודה על מוצרים מולטידיצפלינרים -יוצאי יחידות טכנולוגיות יתרון
C++ לחברת סטארטאפ בתחום האלגוטריידינג,אנונימי / סודי,Israel,2026-05-06,https://www.gotfriends.co.il/jobslobby/software/cplusplus-programmer/cplusplus-לחברת-סטארטאפ-בתחום-האלגוטריידינג/,gotfriends,110107,"חברת סטארטאפ מבוססת ורווחית בעולם האלגוטריידינג מגייסת C++. אנו מזמינים C++ מנוסה שמחפש/ת את האתגר הבא שלו/ה להצטרף אלינו אנחנו עובדים בתעשיה ""החמה"" והמעניינת ביותר כיום בתעשיה. ממומנים היטב ולכן מעניקים תנאים מעולים ואפשרויות קידום. מפתח/ת C++ שרוצה לעבוד בחזית הטכנולוגיה בתחום החם ביותר שיש כיום, מוזמנ/ת לשלוח קורות חייים!",-4 שנות ניסיון בפיתוח ++C -Linux -תואר ראשון במדעי המחשב
C++/ C לחברת סטארטאפ בעולם המציאות הרבודה,אנונימי / סודי,Israel,2026-05-06,https://www.gotfriends.co.il/jobslobby/software/cplusplus-programmer/cplusplus-c-לחברת-סטארטאפ-בעולם-המציאות-הרבודה/,gotfriends,113046,חברת סטארטאפ ממומנת היטב בחזית הטכנולוגיה מגייסת מפתח/ת C++/C. הזדמנות לעבוד בחזית הטכנולוגיה על מוצר בתעשייה הכי חמה כיום בהייטק. מוצר עם purpose ומשמעות. היזמים- מוכרים וידועים עם רקורד של אקזיטים בעברם.,-4 שנות ניסיון בפיתוח ++C -Linux יתרון -Embedded יתרון
Experienced SW Development,אנונימי / סודי,Israel,2026-05-06,https://www.gotfriends.co.il/jobslobby/software/cplusplus-programmer/experienced-sw-development/,gotfriends,78532,"לחברה גלובאלית העוסקת בפיתוח מוצרי אחסון מתקדמים, דרוש/ה מהנדס/ת תוכנה מנוסה לקבוצת הואלידציה המשלבת תוכנה, חומרה וארכיטקטורה. מדובר בתפקיד מרכזי בצוות שעתיד להוביל את הפיתוח. תפקיד מאתגר בעל השפעה רבה, עם תנאים מעולים ואפשרויות קידום והתפתחות.",תואר BSC/MSC במדעי המחשב או הנדסת חשמל. 5 שנות ניסיון בפיתוח תוכנה OO באחת מן השפות C/C++/Python/Java . יתרון - ניסיון בעבודה בסביבה משולבת תוכנה/חומרה יתרון - ניסיון בתחומי ואלידציה/ווריפיקציה.
++C לחברת סטארטאפ בשרון,אנונימי / סודי,Israel,2026-05-06,https://www.gotfriends.co.il/jobslobby/software/cplusplus-programmer/plusplusc-לחברת-סטארטאפ-בשרון/,gotfriends,96342,"חברת סטארטאפ בשרון המפתחת מוצר בעולם הראיה הממוחשבת מגייסת! מפתח/ת ++C שמחפשת את האתגר הבא! הזדמנות מעולה להשתלב בסטארטאפ רווחי, שמפתח פלטפורמה באמצעות טכנולוגיה מורכבת. שימוש באלגוריתמים של תלת מימד וראיית מכונה. תרבות ארגונית של work life balance המאפשרת יומיים בשבוע עבודה מהבית",-3 שנות ניסיון בפיתוח ++C מעל Windows -תואר ראשון במדעי המחשב -ניסיון בעבודה על פיתוחים בעולם התלת מימד / דו מימד
++C לחברת סטארטאפ בתחום ה- E-commerce,אנונימי / סודי,Israel,2026-05-06,https://www.gotfriends.co.il/jobslobby/software/cplusplus-programmer/plusplusc-לחברת-סטארטאפ-בתחום-ה-e-commerce/,gotfriends,113957,"חברת סטארטאפ המפתחת פלטפורמה בעולם ה- E-commerce מגייסת מפתח/ת ++C הזדמנות מעולה להיות חלק מצוות הקמה ועבודה על מוצר חדש. עבודה עם טכנולוגיות מתקדמות, ארגון שטוח ותנאים מעולים!",-4 שנות ניסיון בפיתוח ++C על Linux
++C לחברת סייבר של יוצאי היחידות הטכנולוגיות,אנונימי / סודי,Israel,2026-05-06,https://www.gotfriends.co.il/jobslobby/software/cplusplus-programmer/plusplusc-לחברת-סייבר-של-יוצאי-היחידות-הטכנולוגיות/,gotfriends,114119,חברת סייבר בחזית הטכנולוגיה מגייסת מפתח/ת ++ C. הזדמנות להיות חלק מחברה מובילה אשר מורכבת מיוצאי יחידות טכנולגיות. החברה ממומנת ומפתחת מוצר בחזית הטכנולוגיה. תנאים מעולים למתאימים.,-++C -Linux -יוצאי יחידות טכנולוגיות -יתרון
דרוש/ה מפתח/ת ++ c,אנונימי / סודי,Israel,2026-05-06,https://www.gotfriends.co.il/jobslobby/software/cplusplus-programmer/דרושה-מפתחת-plusplus-c/,gotfriends,114162,חברה מובילה מגייסת מפתח/ת C++ לעבודה על מוצר מעניין. החברה ממומנת היטב על ידי קרנות מובילות. מדובר בהזדמנות מדהימה להכנס לחברה אשר מעניקה תנאים מצוינים כולל work life balance,-4 שנות ניסיון בפיתוח++ C -Linux
++C לחברת סייבר,אנונימי / סודי,Israel,2026-05-06,https://www.gotfriends.co.il/jobslobby/software/cplusplus-programmer/plusplusc-לחברת-סייבר/,gotfriends,114246,חברת סייבר מתחת לראדר מגייסת מפתח/ת ++C. החברה הוקמה על ידי יוצאי יחידות ויזמים בכירים ומוכרים בעולם הסייבר. מפתחים פלטפורמה חדשנית שנותנת מענה שלא קיים כיום בשוק. הזדמנות מעולה להיות חלק מצוות הקמה ולעבוד עם טכנולוגיות מתקדמות על מוצר מרתק,- 7 שנות ניסיון בפיתוח ++C
C++ Linux Tech Lead,אנונימי / סודי,Israel,2026-05-06,https://www.gotfriends.co.il/jobslobby/software/cplusplus-programmer/cplusplus-linux-tech-lead/,gotfriends,112912,"חברת סטארטאפ של יוצאי יחידות מגייסת++ C. החברה מפתחת פתרונות בתחום של ההצפנה. ממומנים היטב והיזמים עם רקורד של לפחות אקזיט אחד (מוכרים מאוד בתחום). התפקיד הוא בעל פוטנציאל ניהולי, מדובר בהצטרפות לצוות המורכב רובו ככולו מיוצאי יחידות. הזדמנות מעולה להשפיע על המוצר ולהיכנס לחברה מובילה בתחומה.",- 3 שנות ניסיון C++ Linux - ניסיון כ- Tech Lead
++C לחברת סטארטאפ מרשימה,אנונימי / סודי,Israel,2026-05-06,https://www.gotfriends.co.il/jobslobby/software/cplusplus-programmer/plusplusc-לחברת-סטארטאפ-מרשימה/,gotfriends,109146,"חברת סטארטאפ בעולם הרכב האוטונומי מגייסת ++C. החברה ממומנת היטב ונתמכת על ידי מיטב הקרנות בתחום הרכב האוטונמי. הזדמנות לעבוד בחברה עם פיתוחים ברמה גבוהה מאוד, חברת בינה מלאכותית אמיתית. היזמים - דמויות מובילות מאוד בעולם הרכב האוטונומי ויוצאי יחידות עם אקזיטים בעברם!",-4 שנות ניסיון בפיתוח ++C -ניסיון בעבודה עם #C יתרון גדול -ניסיון בעבודה על מוצר לדחיסה ושחרור וידיאו
High Level C ++ Engineer,אנונימי / סודי,Israel,2026-05-06,https://www.gotfriends.co.il/jobslobby/software/cplusplus-programmer/high-level-c-plusplus-engineer/,gotfriends,75962,"לחברת אבטחת המידע מעולה דרוש/ה High Level C ++ Engineer . החברה מבטחת פתרונות חדשניים בתחום אבטחת המידע. קיימת מעל 10 שנים. נרכשה על ידי חברת ענק גלובלית. הזדמנות להצטרף לצוות ה- Core של החברה ולפתח מוצרים חדשים מאפס. הזדמנות מתגמלת, תנאים מעולים אפשרויות קידום באווירת איזון משפחה עבודה",-תואר ראשון במדעי המחשב / תחום רלוונטי אחר - הכרחי -4 שנות ניסיון בפיתוח C++/C ישומים על Windows -ניסיון ב- multithreading
C++ for image processing לחברה מובילה,אנונימי / סודי,Israel,2026-05-06,https://www.gotfriends.co.il/jobslobby/software/cplusplus-programmer/cplusplus-for-image-processing-לחברה-מובילה/,gotfriends,104485,"אחת מחהברות המולטידצפלינריות המובילות כיום באקו סיסטם מגייסת. הזדמנות מעולה עבור איש/אשת C++ מובילה שמחפש/ת לתבל את העבודה הטכנולוגית עם אתגר ומצוינות טכנולוגית. אנחנו יציבים, ממומנים, עובדים כל הזמן בחזית ומחפשים לגייס א/נשים טובים/ות שירצו לצעוד אתנו בדרך הזו.",-3 שנות ניסיון בפיתוח ב- C++ -עיבוד תמונה DSP יתרון -תואר ראשון במדעי המחשב/ הנדסת תוכנה
++C עבור חברת סטארטאפ בעולם הוירטואליזציה,אנונימי / סודי,Israel,2026-05-06,https://www.gotfriends.co.il/jobslobby/software/cplusplus-programmer/plusplusc-עבור-חברת-סטארטאפ-בעולם-הוירטואליזציה/,gotfriends,114792,"חברת סטארטאפ יציבה וממומנת היטב מגייסת C++. מפתחים פלטפורמה חדשה בעולמות הווירטואליזציה, מובלים על ידי יזמים מוכרים. עובדים עם הכלים הטכנולוגים ביותר. מציעים אתגר ועניין רב. הזדמנות מעולה לעבוד במשרדים יפהיפיהם ותנאים מעולים!",-4 שנות ניסיון בעבודה עם ++C -Linux -תואר במדעי המחשב- יתרון
++C עבור חברת סטארטאפ בעולם הפינטק,אנונימי / סודי,Israel,2026-05-06,https://www.gotfriends.co.il/jobslobby/software/cplusplus-programmer/plusplusc-עבור-חברת-סטארטאפ-בעולם-הפינטק/,gotfriends,114896,חברת סטארטאפ שהוקמה על ידי יזמים מעמק הסיליקון ומישראל. מבוססת אלגוריתמיקה מורכבת (בהובלה של פרופסורים מהטכניון וברקלי) מגייסת מפתח/ת ++C . הזדמנות מעולה לעבוד על פיתוחים מורכבים בחברה ממומנת היטב עובדת בחזית הטכנולוגיה,-3 שנות ניסיון בפיתוח ++C -Linux -תואר במדעי המחשב/ הנדסת מחשבים
