title,company,location,date,url,department,workplace_type,level,source
רכז/ת תקציבי מחקר-המכון לפיזיקה יישומית,HUJI Alumni Career,ירושלים,2026-05-04,https://hujicareer.co.il/jobs/%d7%a8%d7%9b%d7%96-%d7%aa-%d7%aa%d7%a7%d7%a6%d7%99%d7%91%d7%99-%d7%9e%d7%97%d7%a7%d7%a8-%d7%94%d7%9e%d7%9b%d7%95%d7%9f-%d7%9c%d7%a4%d7%99%d7%96%d7%99%d7%a7%d7%94-%d7%99%d7%99%d7%a9%d7%95%d7%9e%d7%99/,,onsite,junior,huji-alumni
מנהלן/ית הוראה ותלמידים - בית הספר לרפואה,HUJI Alumni Career,ירושלים,2026-05-04,https://hujicareer.co.il/jobs/%d7%9e%d7%a0%d7%94%d7%9c%d7%9f-%d7%99%d7%aa-%d7%94%d7%95%d7%a8%d7%90%d7%94-%d7%95%d7%aa%d7%9c%d7%9e%d7%99%d7%93%d7%99%d7%9d-%d7%91%d7%99%d7%aa-%d7%94%d7%a1%d7%a4%d7%a8-%d7%9c%d7%a8%d7%a4%d7%95%d7%90/,,onsite,junior,huji-alumni
ממונה על הגנת הפרטיות וניהול סיכונים - הנהלה,HUJI Alumni Career,ירושלים,2026-05-04,https://hujicareer.co.il/jobs/%d7%9e%d7%9e%d7%95%d7%a0%d7%94-%d7%a2%d7%9c-%d7%94%d7%92%d7%a0%d7%aa-%d7%94%d7%a4%d7%a8%d7%98%d7%99%d7%95%d7%aa-%d7%95%d7%a0%d7%99%d7%94%d7%95%d7%9c-%d7%a1%d7%99%d7%9b%d7%95%d7%a0%d7%99%d7%9d-%d7%94/,,onsite,junior,huji-alumni
מנהל/ת היחידה לניתוח ותכנון מדיניות - לשכת הנשיא,HUJI Alumni Career,ירושלים,2026-05-04,https://hujicareer.co.il/jobs/%d7%9e%d7%a0%d7%94%d7%9c-%d7%aa-%d7%94%d7%99%d7%97%d7%99%d7%93%d7%94-%d7%9c%d7%a0%d7%99%d7%aa%d7%95%d7%97-%d7%95%d7%aa%d7%9b%d7%a0%d7%95%d7%9f-%d7%9e%d7%93%d7%99%d7%a0%d7%99%d7%95%d7%aa-%d7%9c%d7%a9/,,onsite,junior,huji-alumni
רכז/ת תוכנית דוקטורנטים ובינלאומיות - הפקולטה למדעי החברה,HUJI Alumni Career,ירושלים,2026-05-04,https://hujicareer.co.il/jobs/%d7%a8%d7%9b%d7%96-%d7%aa-%d7%aa%d7%95%d7%9b%d7%a0%d7%99%d7%aa-%d7%93%d7%95%d7%a7%d7%98%d7%95%d7%a8%d7%a0%d7%98%d7%99%d7%9d-%d7%95%d7%91%d7%99%d7%a0%d7%9c%d7%90%d7%95%d7%9e%d7%99%d7%95%d7%aa-%d7%94/,,onsite,junior,huji-alumni
דרושים מנהל/ת סושיאל ומנהל/ת קמפיינים PPC,cropped-Untitled-design-1,ירושלים,2026-05-04,https://hujicareer.co.il/jobs/%d7%93%d7%a8%d7%95%d7%a9%d7%99%d7%9d-%d7%9e%d7%a0%d7%94%d7%9c-%d7%aa-%d7%a1%d7%95%d7%a9%d7%99%d7%90%d7%9c-%d7%95%d7%9e%d7%a0%d7%94%d7%9c-%d7%aa-%d7%a7%d7%9e%d7%a4%d7%99%d7%99%d7%a0%d7%99%d7%9d-ppc/,,onsite,junior,huji-alumni
למדפיס הממשלתי בירושלים דרוש/ה מרכז/ת בכיר/ה הון אנושי,HUJI Alumni Career,ירושלים,2026-05-04,https://hujicareer.co.il/jobs/%d7%9c%d7%9e%d7%93%d7%a4%d7%99%d7%a1-%d7%94%d7%9e%d7%9e%d7%a9%d7%9c%d7%aa%d7%99-%d7%91%d7%99%d7%a8%d7%95%d7%a9%d7%9c%d7%99%d7%9d-%d7%93%d7%a8%d7%95%d7%a9-%d7%94-%d7%9e%d7%a8%d7%9b%d7%96-%d7%aa-%d7%91/,,onsite,junior,huji-alumni
לבורנט/ית .M. Sc במדעי הטבע,c3,ירושלים,2026-05-04,https://hujicareer.co.il/jobs/%d7%9c%d7%91%d7%95%d7%a8%d7%a0%d7%98-%d7%99%d7%aa-m-sc-%d7%91%d7%9e%d7%93%d7%a2%d7%99-%d7%94%d7%98%d7%91%d7%a2/,,onsite,junior,huji-alumni
דרושים אנשי טיפול בראשון לציון,c3,ראשון לציון,2026-05-04,https://hujicareer.co.il/jobs/7640/,,onsite,junior,huji-alumni
סטודנט/ית לעזרה אדמיניסטרטיבית תכנית עמיתי מרטין בובר,HUJI Alumni Career,ירושלים,2026-05-04,https://hujicareer.co.il/jobs/%d7%a1%d7%98%d7%95%d7%93%d7%a0%d7%98-%d7%99%d7%aa-%d7%9c%d7%a2%d7%96%d7%a8%d7%94-%d7%90%d7%93%d7%9e%d7%99%d7%a0%d7%99%d7%a1%d7%98%d7%a8%d7%98%d7%99%d7%91%d7%99%d7%aa-%d7%aa%d7%9b%d7%a0%d7%99%d7%aa/,,onsite,junior,huji-alumni
