url,title,company,source,department,first_seen,last_seen
https://www.gotfriends.co.il/jobslobby/software/full-stack-developer/153565/,Senior Full Stack Engineer בחברת Cyber Offensive ייחודית,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/cplusplus-programmer/153582/,Agent Developer- OS Security R&D בחברת Cyber Offensive ייחודית,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/backend-developer/153566/,Senior Backend Developer בחברת Cyber Offensive ייחודית,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/head-of-development-team/153577/,Full-Stack R&D Team Lead בחברת סטארט-אפ פורצת דרך,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/head-of-development-team/153569/,Backend Lead בחברת סטארט-אפ שעוסקת בתחום ה-Adtech,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/backend-developer/153564/,Software Engineer בחברת הייטק מצליחה,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/full-stack-developer/154060/,Full-Stack Developer בחברת Bootstrap יציבה,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/full-stack-developer/153548/,Senior Full stack engineer בסטארט-אפ בתחום Fintech Generative AI,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/backend-developer/153562/,Senior Software Engineer (Embedded & Edge AI) בחברת סטארט-אפ,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/cplusplus-programmer/153562/,Senior Software Engineer (Embedded & Edge AI) בחברת סטארט-אפ,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/full-stack-developer/153535/,Engineering Lead בחברת סטארט-אפ רווחית בתחום של עיצוב פנים ו-AI,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/head-of-development-team/153545/,R&D Backend Team Lead בחברת סטארט-אפ בתחום ה-Creative Technology,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/backend-developer/153551/,Principal Backend Engineer- AI Platform בחברת הייטק מצליחה,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/backend-developer/153552/,Linux Kernel Developer בחברת הייטק מצליחה,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/full-stack-developer/153522/,Senior Full Stack Engineer בחברת סטארט-אפ,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/backend-developer/153502/,Senior Software Engineer בחברה בתחום ה-Ad-tech,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/full-stack-developer/153528/,Full Stack Developer בחברת סטארט-אפ בתחום ה-AI,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/full-stack-developer/153464/,Senior Full Stack Engineer בחברת הייטק בתחום הרפואי,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/net-developer/153505/,Team Lead בחברת תוכנה בעולם הפרסום הדיגיטלי,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/full-stack-developer/153506/,Senior Full Stack Developer בחברה בתחום הביטחוני,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/full-stack-developer/153508/,Senior Full Stack Developer בחברה בתחום הביטחוני,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/python-developer/153479/,Founding Engineer בחברת סטארט-אפ AI First,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/head-of-development-team/153468/,Backend Team Lead בחברת Gaming,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/backend-developer/153480/,Lead Backend engineer בחברת הייטק בתחום ה-Healthcare,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/head-of-development-team/153455/,Engineering Team Lead בחברה בתחום ה-Fintech,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/ארכיטקט-תוכנה/153472/,System Architect בחברת הייטק,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/full-stack-developer/153456/,Senior Full Stack Engineer בחברת הייטק בתחום הרפואי,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
