title,company,location,date,url,department,workplace_type,level,source
יועץ/ת בכיר/ה - המכינה האוניברסיטאית,HUJI Career,ירושלים,2026-04-23,https://hujicareer.co.il/jobs/%d7%99%d7%95%d7%a2%d7%a5-%d7%aa-%d7%91%d7%9b%d7%99%d7%a8-%d7%94-%d7%94%d7%9e%d7%9b%d7%99%d7%a0%d7%94-%d7%94%d7%90%d7%95%d7%a0%d7%99%d7%91%d7%a8%d7%a1%d7%99%d7%98%d7%90%d7%99%d7%aa/,,onsite,junior,huji
מרכז/ת בכיר/ה לאגף המדיניות ברשות להתחדשות עירונית,הרשות-להתחדשות,ירושלים,2026-04-23,https://hujicareer.co.il/jobs/%d7%9e%d7%a8%d7%9b%d7%96-%d7%aa-%d7%91%d7%9b%d7%99%d7%a8-%d7%94-%d7%9c%d7%90%d7%92%d7%a3-%d7%94%d7%9e%d7%93%d7%99%d7%a0%d7%99%d7%95%d7%aa-%d7%91%d7%a8%d7%a9%d7%95%d7%aa-%d7%9c%d7%94%d7%aa%d7%97%d7%93/,,onsite,junior,huji
סט-אפיסט/ית ומתכנת/ת CNC - מכון רקח לפיסיקה,HUJI Career,ירושלים,2026-04-23,https://hujicareer.co.il/jobs/%d7%a1%d7%98-%d7%90%d7%a4%d7%99%d7%a1%d7%98-%d7%99%d7%aa-%d7%95%d7%9e%d7%aa%d7%9b%d7%a0%d7%aa-%d7%aa-cnc-%d7%9e%d7%9b%d7%95%d7%9f-%d7%a8%d7%a7%d7%97-%d7%9c%d7%a4%d7%99%d7%a1%d7%99%d7%a7%d7%94/,,onsite,junior,huji
עוזר/ת לענייני הוראה - בית הספר לריפוי בעיסוק,HUJI Career,ירושלים,2026-04-23,https://hujicareer.co.il/jobs/%d7%a2%d7%95%d7%96%d7%a8-%d7%aa-%d7%9c%d7%a2%d7%a0%d7%99%d7%99%d7%a0%d7%99-%d7%94%d7%95%d7%a8%d7%90%d7%94-%d7%91%d7%99%d7%aa-%d7%94%d7%a1%d7%a4%d7%a8-%d7%9c%d7%a8%d7%99%d7%a4%d7%95%d7%99-%d7%91/,,onsite,junior,huji
אחים ואחיות לשירותי בריאות התלמיד ירושלים והסביבה,c3,ירושלים,2026-04-23,https://hujicareer.co.il/jobs/%d7%90%d7%97%d7%99%d7%9d-%d7%95%d7%90%d7%97%d7%99%d7%95%d7%aa-%d7%9c%d7%a9%d7%99%d7%a8%d7%95%d7%aa%d7%99-%d7%91%d7%a8%d7%99%d7%90%d7%95%d7%aa-%d7%94%d7%aa%d7%9c%d7%9e%d7%99%d7%93-%d7%99%d7%a8%d7%95/,,onsite,junior,huji
Student Marketing Representative - HUJI International Info Center,HUJI Career,ירושלים,2026-04-23,https://hujicareer.co.il/jobs/student-marketing-representative-huji-international-info-center/,,onsite,junior,huji
דרוש.ה עוזר.ת לרכז היחידה לשירותי הוראה - מדעי החברה,HUJI Career,ירושלים,2026-04-19,https://hujicareer.co.il/jobs/%d7%93%d7%a8%d7%95%d7%a9-%d7%94-%d7%a2%d7%95%d7%96%d7%a8-%d7%aa-%d7%9c%d7%a8%d7%9b%d7%96-%d7%94%d7%99%d7%97%d7%99%d7%93%d7%94-%d7%9c%d7%a9%d7%99%d7%a8%d7%95%d7%aa%d7%99-%d7%94%d7%95%d7%a8%d7%90%d7%94/,,onsite,junior,huji
משרת סטודנט/ית במשרד הביטחון,לוגו משרד הביטחון,פתח תקווה,2026-04-19,https://hujicareer.co.il/jobs/%d7%9e%d7%a9%d7%a8%d7%aa-%d7%a1%d7%98%d7%95%d7%93%d7%a0%d7%98-%d7%99%d7%aa-%d7%91%d7%9e%d7%a9%d7%a8%d7%93-%d7%94%d7%91%d7%99%d7%98%d7%97%d7%95%d7%9f/,,onsite,junior,huji
משרת מתמחה - ייעוץ למדיניות ציבורית ותקשורת,images (5),תל אביב,2026-04-19,https://hujicareer.co.il/jobs/%d7%9e%d7%a9%d7%a8%d7%aa-%d7%9e%d7%aa%d7%9e%d7%97%d7%94-%d7%99%d7%99%d7%a2%d7%95%d7%a5-%d7%9c%d7%9e%d7%93%d7%99%d7%a0%d7%99%d7%95%d7%aa-%d7%a6%d7%99%d7%91%d7%95%d7%a8%d7%99%d7%aa-%d7%95%d7%aa%d7%a7/,,onsite,junior,huji
משרות פתוחות בלוריאל ישראל,לוגו לוריאל,נתניה,2026-04-19,https://hujicareer.co.il/jobs/%d7%9e%d7%a9%d7%a8%d7%95%d7%aa-%d7%a4%d7%aa%d7%95%d7%97%d7%95%d7%aa-%d7%91%d7%9c%d7%95%d7%a8%d7%99%d7%90%d7%9c-%d7%99%d7%a9%d7%a8%d7%90%d7%9c/,,onsite,junior,huji
